id,merchant_name,transaction_date,transaction_currency_code,acquirer_reference_number,transaction_type,primary_account_number,settlement_date,cardholder_name,cardholder_age,cardholder_country,transaction_amount,merchant_category_code,card_acceptor_id,year_month,signed_amount,transaction_sign,tier,tier_coeff
31,"Goodwin, Stephens and Brennan",2023-07-23,840,5779083350615814,payroll,2495453817921710,2023-07-23,Michael Mckinney,62,840,1629.34,4451,ILwjaiHsxX,2023-07,1629.34,debit,Titanium,1.0
32,Peterson-Bartlett,2024-05-21,840,0798334233720948,payroll,2283682223943126,2024-05-23,Latoya Brown,35,124,1950.2,9779,timTgywrsh,2024-05,1950.2,debit,Titanium,1.0
33,Butler Inc,2024-11-06,840,2840333997718051,purchase,2288008514036963,2024-11-06,Michelle Sullivan,23,124,360.14,1207,wtSxiCMHWv,2024-11,-360.14,credit,Platinum,0.75
34,"Torres, Garner and Wilson",2023-09-21,840,7318939749096173,purchase,2277662702895177,2023-09-22,Thomas Smith,53,504,1183.74,2234,inifBSWYhe,2023-09,-1183.74,credit,Titanium,1.0
35,Todd-Williams,2023-05-25,840,0469472587844483,purchase,2221959351863879,2023-05-27,Brittany Campbell,53,504,179.96,1089,dEhqcetQaW,2023-05,-179.96,credit,Platinum,0.75
36,Mora and Sons,2023-07-24,840,7127058772216417,purchase,5505664742312202,2023-07-26,Lisa Adams,20,978,381.63,9325,bfjVrLwwkG,2023-07,-381.63,credit,Platinum,0.75
37,"Austin, Wagner and Jones",2025-01-06,840,3133484587149392,payroll,2708081770388602,2025-01-08,Kelli Mccoy,29,504,9013.0,9818,vrRbWnLaMG,2025-01,9013.0,debit,Titanium,1.0
38,"York, Wells and Wolfe",2025-04-24,840,2925879643474524,top up,2626137506068535,2025-04-25,Brad Walker,44,978,957.65,2712,wyBnGoAhWu,2025-04,957.65,debit,Titanium,1.0
39,Rodriguez-Taylor,2023-08-15,840,7469660606527403,payroll,2559017518636373,2023-08-17,Ronald Morgan,47,840,1856.86,5938,fuFhysDMVt,2023-08,1856.86,debit,Titanium,1.0
40,Perez-Russell,2024-10-25,840,5056658833987411,payroll,2281240568299620,2024-10-26,Sharon Walton,35,840,8346.7,6317,hALyibVjQp,2024-10,8346.7,debit,Titanium,1.0
41,"Rhodes, Wilson and Foster",2024-06-19,840,9706734996010548,purchase,2298868058911352,2024-06-21,Lonnie Hart,50,124,621.03,9121,xmvmMzhoBU,2024-06,-621.03,credit,Gold,0.5
42,Hubbard-Miranda,2024-06-01,840,2156229493817359,payroll,2408668826343517,2024-06-01,Sarah Davis,62,124,2053.82,9465,zwsAQBptvW,2024-06,2053.82,debit,Titanium,1.0
43,King Group,2023-08-02,840,0215573257375534,withdrawal,5346591166553552,2023-08-03,Allison Torres,57,124,65.87,3201,VdeFRblyMR,2023-08,-65.87,credit,Platinum,0.75
44,Turner PLC,2024-01-19,840,1666708085096085,purchase,2562126796927860,2024-01-19,Joanna Kelly,66,124,105.6,1187,YDmsQFFGqI,2024-01,-105.6,credit,Platinum,0.75
45,"Payne, Cisneros and Johnson",2024-02-01,840,1191818281979316,purchase,2521753540838661,2024-02-02,Angela Wallace,24,978,17.9,6167,uyCDcclJQX,2024-02,-17.9,credit,Titanium,1.0
46,Baker-Garza,2023-06-23,840,5129578606940960,payroll,2262762467197889,2023-06-25,Karen Dickerson,47,Madagascar,1373.7,6954,udbLcixwZV,2023-06,1373.7,debit,Gold,0.5
47,Hubbard Ltd,2024-08-06,840,4395873959232342,purchase,2437416724342669,2024-08-07,William Mendoza,24,124,27.48,5616,wwAwdQpppP,2024-08,-27.48,credit,Titanium,1.0
48,"Miller, Watts and Melton",2024-01-08,840,2851553334264335,payroll,2283682223943126,2024-01-10,Latoya Brown,35,124,1950.2,9779,timTgywrsh,2024-01,1950.2,debit,Titanium,1.0
49,"Harrison, Johnson and Stewart",2023-05-26,840,0736077633691128,refund,5599606530745058,2023-05-26,Elizabeth Ramirez,57,978,505.72,9659,gZFgSRnvFG,2023-05,-505.72,credit,Titanium,1.0
50,"Rubio, Robbins and Lane",2024-09-07,840,3179556331857481,purchase,2272945637183446,2024-09-07,Zachary Morales,64,Czech Republic,167.24,9541,KZHEBnwYeP,2024-09,-167.24,credit,Platinum,0.75
51,"Huffman, Ray and Lewis",2024-11-07,840,6155416431670450,payroll,2268468536649876,2024-11-08,Kimberly Ibarra,19,Niue,3443.1,7489,XBKUOdHmxD,2024-11,3443.1,debit,Silver,
52,Hernandez Ltd,2023-09-02,840,2822700934596262,purchase,2264375758441987,2023-09-02,William Cardenas,27,504,55.82,4665,eOnArsPkqR,2023-09,-55.82,credit,Titanium,1.0
53,Sullivan Inc,2024-08-19,840,5120734654950050,purchase,2229182688615332,2024-08-19,Erin Carter,53,124,90.02,2303,ZtDFJBBPcm,2024-08,-90.02,credit,Gold,0.5
54,Powers-Blackwell,2024-03-22,840,0869822105316117,purchase,2225204482070011,2024-03-22,Edward Brown,20,Zimbabwe,1096.78,6231,KVGhHQLXHq,2024-03,-1096.78,credit,Platinum,0.75
55,Young Inc,2024-05-30,840,2904774258591779,payroll,2249264422096908,2024-06-01,Evan Lamb,56,504,3875.8,5596,lrqOPziVWt,2024-05,3875.8,debit,Titanium,1.0
56,Ortiz-Roy,2023-12-10,840,2311649133424579,payroll,2702911467866914,2023-12-12,Evan Jones,36,124,9288.6,9833,TUXXUHLrce,2023-12,9288.6,debit,Titanium,1.0
57,Cox Ltd,2025-05-07,840,5652906032020326,withdrawal,5253021465669389,2025-05-08,Michael Calhoun,65,124,75.16,5409,cVQZdSYQpq,2025-05,-75.16,credit,Titanium,1.0
58,Parker-Mullen,2024-07-13,840,5396737948714855,purchase,5437213865890264,2024-07-14,Abigail Davis,63,978,665.0,5183,CyazqtfWpt,2024-07,-665.0,credit,Titanium,1.0
59,"Jones, Fisher and Daniel",2023-11-29,840,8715841560821371,top up,2232756041776561,2023-11-30,Samantha Holloway,29,Qatar,68.7,8570,WdPPlOCYPi,2023-11,68.7,debit,Gold,0.5
60,Gonzalez-Torres,2023-05-13,840,5476818268323035,purchase,2720023557702724,2023-05-14,Stephanie Herrera,60,840,180.84,9112,pHTXPWiMRA,2023-05,-180.84,credit,Gold,0.5
61,Hayes-Russo,2025-01-15,840,8583825212932896,purchase,2232806346157171,2025-01-15,Brenda Lee,31,504,1223.96,2429,uZsmfAxlzy,2025-01,-1223.96,credit,Platinum,0.75
62,Valentine Inc,2024-02-20,840,6867752401484399,top up,2713008931734203,2024-02-21,Jeffrey Green,35,Benin,1025.18,0867,RFhoTnmYrs,2024-02,1025.18,debit,Silver,
63,Aguilar-Holland,2023-11-19,840,7236266933513426,payroll,2562639343626207,2023-11-19,Dennis Williamson,21,United States of America,7768.6,1072,uSzRnTyTBV,2023-11,7768.6,debit,Titanium,1.0
64,Jones-Hawkins,2024-08-16,840,3724501848197374,refund,2720657013290228,2024-08-18,Eddie Gilbert,68,840,586.4,0537,wMQZMTVZca,2024-08,-586.4,credit,Gold,0.5
65,Stewart PLC,2023-08-21,840,2154064176927438,purchase,2258964652809247,2023-08-23,Johnathan Morgan,52,Lao People's Democratic Republic,888.29,6241,uciFrVxBsq,2023-08,-888.29,credit,Platinum,0.75
66,Black-Graham,2024-08-29,840,3766014448564510,purchase,2473329456255774,2024-08-31,John Bell,47,840,753.12,2572,JQOZCdmjdo,2024-08,-753.12,credit,Gold,0.5
67,Harrison and Sons,2023-09-30,840,3964178996986091,purchase,2222697972965900,2023-09-30,Sheryl Acosta,56,978,66.53,7617,cCwTJFDFhU,2023-09,-66.53,credit,Platinum,0.75
68,Martinez Inc,2025-03-14,840,1359966057798066,withdrawal,2639288619576123,2025-03-14,Krista Wagner,23,124,4.57,3422,VGrKQLnLaH,2025-03,-4.57,credit,Gold,0.5
69,"White, Knapp and Sanchez",2024-12-26,840,0514607455534705,payroll,2331165667010653,2024-12-26,Ashley Lee,67,504,2505.8,9903,sRRhzxLguj,2024-12,2505.8,debit,Titanium,1.0
70,Stevens Ltd,2023-06-02,840,3885652715598354,payroll,2221959351863879,2023-06-03,Brittany Campbell,53,504,2464.44,8234,lHGQpCNOoM,2023-06,2464.44,debit,Platinum,0.75
71,"Anderson, Boyer and Solis",2025-04-14,840,5972634755752250,purchase,2623076810409154,2025-04-14,Angel Meyer,50,504,56.6,4501,JMyfzqlpXz,2025-04,-56.6,credit,Gold,0.5
72,Phelps and Sons,2023-07-19,840,8826913119642585,purchase,2701845184894760,2023-07-20,Patricia Todd,38,504,1111.46,6642,htFZBVZtRM,2023-07,-1111.46,credit,Titanium,1.0
73,Wade-Collier,2023-08-20,840,9915370382407333,purchase,2247597383206038,2023-08-20,Makayla Steele,62,978,960.26,8377,yErKMBfWBZ,2023-08,-960.26,credit,Titanium,1.0
74,Solomon Group,2024-04-14,840,0430977688936289,purchase,2289266108573275,2024-04-14,Maria Miller,46,Lao People's Democratic Republic,124.68,4224,pHBsKdJecG,2024-04,-124.68,credit,Platinum,0.75
75,"Coleman, Davis and Guerrero",2023-08-02,840,5465535851253892,purchase,2720027703843092,2023-08-03,Melissa Gilbert,47,124,537.57,9454,LfXGbhVQDl,2023-08,-537.57,credit,Platinum,0.75
76,Cameron Inc,2025-01-10,840,8519358374907977,purchase,5528851587996842,2025-01-12,Jenny Smith,63,840,196.5,1645,LUDWQCNZqv,2025-01,-196.5,credit,Platinum,0.75
77,Clark Inc,2025-04-23,840,8780572151494097,top up,2278122362316658,2025-04-23,Jennifer Clark,67,978,2091.32,9416,IbazhakPED,2025-04,2091.32,debit,Titanium,1.0
78,Melton-Church,2024-10-29,840,3748453986289509,purchase,5218569454414963,2024-10-29,Michael Allen,67,504,263.97,9749,NxSRSRzZtf,2024-10,-263.97,credit,Titanium,1.0
79,Smith Inc,2023-08-16,840,1918623392207151,purchase,2264209494079290,2023-08-17,William Lamb,32,124,88.63,0303,EPjPpBOYIm,2023-08,-88.63,credit,Titanium,1.0
80,Carrillo-Hernandez,2023-07-16,840,6672521452647124,purchase,2292638380657874,2023-07-18,Keith Morris,44,504,76.97,6012,jVSCFEbCLp,2023-07,-76.97,credit,Platinum,0.75
81,Hudson-Bass,2023-10-14,840,5718409080512080,payroll,5178447364710275,2023-10-15,John Peterson,64,504,7892.1,7146,lFSPpbhWrF,2023-10,7892.1,debit,Titanium,1.0
82,Freeman Group,2023-12-22,840,9951239728351295,payroll,2606174451870536,2023-12-23,Richard Stevenson,29,840,2129.2,8997,oTdHbBKuJe,2023-12,2129.2,debit,Platinum,0.75
83,"Butler, Kennedy and Simpson",2023-12-05,840,8270908144152982,top up,5599606530745058,2023-12-07,Elizabeth Ramirez,57,978,855.67,5760,ksUmEwCoGo,2023-12,855.67,debit,Titanium,1.0
84,Moore Group,2023-09-22,840,9578671815352373,purchase,2715972466572932,2023-09-24,Paul Estrada,49,Bulgaria,1007.8,1674,pnJdbwqwRk,2023-09,-1007.8,credit,Silver,
85,"Johnson, Brown and Jordan",2023-09-23,840,7918158998868345,purchase,2234874016400527,2023-09-24,Deborah Figueroa,44,840,200.24,9318,oFqvYwXcXJ,2023-09,-200.24,credit,Gold,0.5
86,Castaneda PLC,2023-12-04,840,6666170715879647,purchase,2703667428604765,2023-12-04,Tonya Vega,55,978,61.08,9107,ZDWhgYNNYg,2023-12,-61.08,credit,Platinum,0.75
87,Martinez and Sons,2025-02-05,840,8031499825080046,purchase,2700812135247879,2025-02-07,Annette Holland,67,Grenada,1243.86,7603,ZEvsGkfrxT,2025-02,-1243.86,credit,Gold,0.5
88,Ward-Ortega,2024-12-17,840,8828503172351373,purchase,2720135775949299,2024-12-17,Rhonda Benjamin,49,978,325.26,2863,iZBAADHYRx,2024-12,-325.26,credit,Titanium,1.0
89,Thomas-Smith,2023-06-03,840,6314035263560229,top up,2719796884578312,2023-06-03,Jacob Green,24,124,22.64,8115,uzXkBdzWcQ,2023-06,22.64,debit,Titanium,1.0
90,"Hernandez, Andrews and Levine",2025-04-26,840,9434606664374906,payroll,5116451046368150,2025-04-27,Mr. Brandon Gonzalez,55,978,2789.4,8671,dzAuVBbksL,2025-04,2789.4,debit,Platinum,0.75
91,"Bishop, Thomas and Powell",2025-04-09,840,3111271285246484,purchase,2713852580010617,2025-04-10,Melissa Bell,61,124,32.03,3899,PCSwZYPzXm,2025-04,-32.03,credit,Gold,0.5
92,Miller-Medina,2025-03-25,840,1631873280771130,payroll,2236887258874496,2025-03-26,Michael Fitzgerald,36,124,9854.3,6288,snfGJtHvWO,2025-03,9854.3,debit,Titanium,1.0
93,West PLC,2024-09-27,840,3695727908335090,purchase,2221089434681054,2024-09-29,Jordan Martinez,29,Saudi Arabia,784.61,0753,ZVLKTOQIMo,2024-09,-784.61,credit,Silver,
94,Miller-Brown,2024-04-05,840,7306624813235707,withdrawal,2284492683158937,2024-04-05,Heather Garcia,39,Rwanda,223.6,2737,exRHzLJHXz,2024-04,-223.6,credit,Gold,0.5
95,Silva-Fields,2025-03-18,840,8228501168809255,refund,5430756263689701,2025-03-20,Kelly Hoffman,38,840,12.08,7762,jGiFTDiTGH,2025-03,-12.08,credit,Gold,0.5
96,"Lewis, Kennedy and Francis",2023-08-10,840,0609069130981079,top up,2227717565512565,2023-08-12,Donna Landry,37,840,365.79,8519,AhhxKscHjh,2023-08,365.79,debit,Titanium,1.0
97,Ritter-Turner,2024-02-23,840,7379457727853242,payroll,2286856624628737,2024-02-25,Elizabeth Zimmerman,45,978,2480.66,7022,YLAdtsnlVF,2024-02,2480.66,debit,Platinum,0.75
98,"Fields, Gill and Contreras",2023-08-26,840,0642076836253666,purchase,5118510679497566,2023-08-26,Nathan Obrien,42,Serbia,350.68,2519,QNAyozvIcQ,2023-08,-350.68,credit,Gold,0.5
99,Fitzgerald-Brewer,2025-04-01,840,7555628333393957,payroll,2256657437489697,2025-04-02,Jorge Bates,52,124,2973.8,7148,PPLVvQfEVa,2025-04,2973.8,debit,Gold,0.5
100,Bernard PLC,2024-12-19,840,4362718749603358,purchase,5218569454414963,2024-12-20,Michael Allen,67,504,926.44,3780,hQIlbrYnpT,2024-12,-926.44,credit,Titanium,1.0
101,Wilson Inc,2023-11-26,840,2703692492693265,payroll,2717189569070569,2023-11-28,Alexander Rice,60,Hong Kong,233.0,8242,lqXfjtARkd,2023-11,233.0,debit,Gold,0.5
102,White-Reeves,2024-08-30,840,5998011100051553,purchase,2720657013290228,2024-08-30,Eddie Gilbert,68,840,649.78,4615,jAuqyhdmpW,2024-08,-649.78,credit,Gold,0.5
103,"Young, Romero and Gordon",2024-08-16,840,5959775244182226,purchase,2656543102786813,2024-08-17,David Griffin,69,840,581.45,1405,DJAeEbAOob,2024-08,-581.45,credit,Titanium,1.0
104,"Richmond, Leonard and Sanchez",2023-12-06,840,8874312710267672,top up,2694484631224170,2023-12-07,Denise Dean,57,504,722.27,8249,ACfOGnYjxI,2023-12,722.27,debit,Gold,0.5
105,Medina Group,2023-09-18,840,7992707955151229,payroll,2237333433339526,2023-09-20,Barbara Miller,30,124,1798.5,8700,DNsPkadErM,2023-09,1798.5,debit,Titanium,1.0
106,"James, Bell and Chen",2023-11-21,840,3541597099625438,purchase,2318537474112491,2023-11-21,Russell Murphy,32,978,514.13,9840,kVIKetfzSh,2023-11,-514.13,credit,Titanium,1.0
107,Hardy LLC,2025-02-14,840,5203447650471580,purchase,2720878015739935,2025-02-14,Melanie Flores,49,124,33.08,6398,ZuRvOqWTCr,2025-02,-33.08,credit,Gold,0.5
108,"Bird, Peterson and Stevens",2023-11-18,840,4637660465586652,purchase,2234601367303715,2023-11-18,Vickie Kennedy,27,124,237.08,9502,PaMEaaRlAJ,2023-11,-237.08,credit,Gold,0.5
109,Wood-Lee,2023-08-15,840,7441715810213125,purchase,2568118071569560,2023-08-17,Randy Terry,64,Algeria,258.12,0304,RTwmfNOtZT,2023-08,-258.12,credit,Gold,0.5
110,Baird LLC,2023-10-29,840,1005912975191023,purchase,5437213865890264,2023-10-29,Abigail Davis,63,978,1137.3,0479,namOzhrKGF,2023-10,-1137.3,credit,Titanium,1.0
111,Lee-Gregory,2025-01-07,840,0633016583737927,payroll,2229399921921240,2025-01-07,Savannah Ibarra,23,Saint Lucia,1918.26,8948,DaBPRPduBA,2025-01,1918.26,debit,Silver,
112,Frazier Group,2023-12-09,840,7280123428931132,purchase,2232482629251881,2023-12-11,Bailey Stewart,35,504,87.65,7580,UodrAICuaz,2023-12,-87.65,credit,Platinum,0.75
113,Watkins Ltd,2025-01-27,840,9496843645380442,purchase,2235190361332549,2025-01-27,Mario Johnson,66,Jersey,313.98,5431,EpvdvHYpeX,2025-01,-313.98,credit,Silver,
114,"Gonzales, Davis and Griffin",2024-08-19,840,0961701595919457,purchase,2707277434873473,2024-08-20,Dustin Nelson,46,978,81.73,1100,yuSeYidZCd,2024-08,-81.73,credit,Platinum,0.75
115,"Sims, Jones and Byrd",2023-12-31,840,4758339205677567,withdrawal,2521811437447010,2024-01-01,Shelly Phelps,64,504,1041.28,8046,zgNWAoMYQN,2023-12,-1041.28,credit,Gold,0.5
116,Strong and Sons,2024-08-13,840,6602562650622923,purchase,5176769915078593,2024-08-13,Brian Larson,47,Bangladesh,947.5,8456,EUNClpiZcd,2024-08,-947.5,credit,Gold,0.5
117,Silva-Palmer,2023-08-18,840,4530762484337976,purchase,2255655743132911,2023-08-19,Christopher Owens,60,124,112.25,5498,XjjEtMvsxa,2023-08,-112.25,credit,Platinum,0.75
118,"Sandoval, Thomas and Young",2024-06-16,840,5115794238736704,purchase,2280229612018368,2024-06-17,Glen Wood,58,124,510.91,8065,mmOmYevmQE,2024-06,-510.91,credit,Gold,0.5
119,"Holden, Greene and Rivera",2024-10-31,840,9691928455259710,purchase,2225991251341256,2024-11-02,Kayla Barnes,25,840,464.18,9959,tAvkgDYcFo,2024-10,-464.18,credit,Platinum,0.75
120,Fowler Ltd,2025-04-24,840,5357485953259399,purchase,2720391725135527,2025-04-24,Tracey Underwood,33,840,60.35,3793,pEVXvZVynz,2025-04,-60.35,credit,Platinum,0.75
121,Cox Inc,2023-10-01,840,0581629518779417,purchase,2264375758441987,2023-10-02,William Cardenas,27,504,727.2,5081,jsCmOLWxcb,2023-10,-727.2,credit,Titanium,1.0
122,Mitchell and Sons,2023-10-12,840,5073305597824575,purchase,2626137506068535,2023-10-13,Brad Walker,44,978,364.37,4258,plmblqgbRi,2023-10,-364.37,credit,Titanium,1.0
123,"Cobb, Rodriguez and Boyle",2024-02-29,840,9914038843660443,purchase,2707814141397550,2024-02-29,Matthew Garcia,68,504,758.22,4735,ZxQkHZNBTe,2024-02,-758.22,credit,Titanium,1.0
124,Andrade and Sons,2023-08-11,840,1572768297514743,purchase,5231051834738299,2023-08-11,Dana Kennedy,48,840,352.31,3386,SxuMBOpcWN,2023-08,-352.31,credit,Platinum,0.75
125,Dickerson LLC,2024-08-09,840,9250105875256806,payroll,2288994417154542,2024-08-10,Michael Stafford,52,504,2985.1,8517,rGrbSUXLlR,2024-08,2985.1,debit,Titanium,1.0
126,Gibbs-Mendez,2025-01-09,840,9045990802711221,purchase,5335680442067884,2025-01-09,Joel Lara,49,504,132.24,2868,xFHDluTxHS,2025-01,-132.24,credit,Titanium,1.0
127,"Sosa, Wells and Perkins",2024-05-20,840,5551651768086628,purchase,2277608495880397,2024-05-20,Rebecca Barron,30,124,2.95,9033,mCpzntByKk,2024-05,-2.95,credit,Titanium,1.0
128,Richardson-Jimenez,2024-04-10,840,1433080037003322,purchase,2284812147853908,2024-04-11,Marc Simmons,70,Lao People's Democratic Republic,1079.16,4602,CoqPewfsGG,2024-04,-1079.16,credit,Silver,
129,"Miller, Hill and Perez",2024-07-08,840,0847068103903397,purchase,2437416724342669,2024-07-09,William Mendoza,24,124,965.42,1150,ImvmRvqtVX,2024-07,-965.42,credit,Titanium,1.0
130,Lee-Munoz,2024-10-22,840,8263280944858623,purchase,2715014556168147,2024-10-22,Bryan Villarreal,24,978,864.9,2840,XtswYzzLWP,2024-10,-864.9,credit,Titanium,1.0
131,Valdez-Hays,2023-05-20,840,5461470798632106,payroll,2227206724004995,2023-05-21,William Mitchell,66,504,9505.6,9320,afXKyxrKUF,2023-05,9505.6,debit,Titanium,1.0
132,Cochran-Flowers,2023-05-18,840,3945703943804032,purchase,2475153663778057,2023-05-18,Shane Torres,65,Saint Pierre and Miquelon,10.38,5366,RWzWXSItuL,2023-05,-10.38,credit,Silver,
133,Fowler-Torres,2024-07-26,840,5769277894319100,purchase,5190225999966361,2024-07-28,James Wells,31,Greenland,963.86,2182,cSMFblmeys,2024-07,-963.86,credit,Gold,0.5
134,Carter PLC,2023-10-17,840,4769210533651460,purchase,2240564139537675,2023-10-18,Charles Mcgee,20,504,1120.99,1705,HakuAzkhiI,2023-10,-1120.99,credit,Titanium,1.0
135,Paul-Price,2024-03-30,840,2473107201137984,payroll,2221812191361937,2024-03-30,Amanda Miller,41,978,7270.0,7676,cRIliSaTrF,2024-03,7270.0,debit,Titanium,1.0
136,"Cohen, Hill and Smith",2024-06-04,840,1231660076762090,purchase,2715014556168147,2024-06-06,Bryan Villarreal,24,978,296.0,2716,MZpHvKFDDK,2024-06,-296.0,credit,Titanium,1.0
137,"Davis, Lucas and Ellison",2023-06-10,840,7340433700968730,purchase,2712124471746548,2023-06-11,Benjamin Waters,52,124,13.97,5469,ZlAplNUBDy,2023-06,-13.97,credit,Titanium,1.0
138,"White, Carroll and Long",2025-04-17,840,7782558825562965,purchase,2718941343524082,2025-04-19,Angel Brown,35,978,723.56,0324,OIsQeSUUnF,2025-04,-723.56,credit,Titanium,1.0
